Question ID,CP,Difficulty,QL ID,Structure,Context,Answer Archetype,Question,Option A,Option B,Option C,Option D,Correct Option,Explanation,Review Status,Reviewer Notes
PCT-CP-008:PCT-QL-016:PCT-002:en:57,PCT-CP-008,Medium,PCT-QL-016,Multi-statement,Money,Final value,"A monthly expenses of Rs. 30000 is divided as 30% rent, 30% food, and 40% transport. Find the amount spent on rent.",9000 - 1,9000,-9000,9000 + 1,B,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 30000 So the value corresponding to 1% is obtained by dividing Rs. 30000 by 100. ? 1%=(30000/100)=300 Now multiply the value of 1% by 30 to find the rent. ? 30%=300?30=9000 Therefore the rent count is Rs. 9000. ? rent=9000,,
PCT-CP-009:PCT-QL-018:PCT-002:en:58,PCT-CP-009,Medium,PCT-QL-018,Multi-statement,Money,Difference,"In a budget, 30% goes to marketing, 15% to salaries, and 15% to rent. Find the missing percentage for other expenses.",40% + 1,40% - 1,-40%,40%,D,The full distribution adds up to 100%. ? marketing+salaries+rent+other expenses=100% First add the known percentages. ? 30%+15%+15%=60% Now subtract that total from 100% to get the missing percentage. ? other expenses=100%-60%=40% Therefore the missing percentage is 40%. ? other expenses=40%,,
PCT-CP-010:PCT-QL-020:PCT-002:en:59,PCT-CP-010,Hard,PCT-QL-020,Observation,Money,Final value,"Out of monthly expenses worth Rs. 20000, 35% is spent on food, 25% on rent, 10% on transport, and the remaining 30% on education. Find the amount spent on education.",-6000,6000 - 1,6000,6000 + 1,C,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 20000 So the value corresponding to 1% is obtained by dividing Rs. 20000 by 100. ? 1%=(20000/100)=200 Now multiply the value of 1% by the percentage for education. ? 30%=200?30=6000 Therefore the value for education is Rs. 6000. ? education=6000,,
PCT-CP-001:PCT-QL-001:PCT-002:en:60,PCT-CP-001,Easy,PCT-QL-001,Multi-statement,Education,Original/Recovery value,"25% of the students are girls. If the number of girls is 300, find the total number of students.",1200,-1200,1200 + 1,1200 - 1,A,"Here, 25% of the students equals 300. ? 25%?300 To determine the value of 1%, divide 300 by 25. ? 1%=(300/25)=12 Now multiply the value of 1% by 100 to get the whole. ? 100%=12?100=1200 Therefore the total students is 1200. ? Total students=1200",,
PCT-CP-002:PCT-QL-003:PCT-002:en:61,PCT-CP-002,Easy,PCT-QL-003,Narrative,Money,Final value,"If 25% of the income equals Rs. 9000, find 50% of the same income.",18000,18000 + 1,18000 - 1,-18000,A,"Here, 25% of the income equals Rs. 9000. ? 25%?Rs. 9000 First find the value corresponding to 1% by dividing Rs. 9000 by 25. ? 1%=(9000/25)=360 Now multiply the value of 1% by 50 to get 50%. ? 50%=360?50=18000 Therefore 50% of the income is Rs. 18000. ? expenditure=18000",,
PCT-CP-003:PCT-QL-005:PCT-002:en:62,PCT-CP-003,Easy,PCT-QL-005,Multi-statement,Education,Percentage change,"Out of 720 students, 252 are girls. Find what percent of the students are girls.",35%,-35%,35% + 1,35% - 1,A,The whole students corresponds to 100%. ? 100%?720 So 1% is obtained by dividing 720 by 100. ? 1%=(720/100)=7.2 Now compare 252 with the value of 1% to get the required percentage. ? Required percent=(252/7.2)=35% Therefore 252 is 35% of the students. ? girls=35%,,
PCT-CP-004:PCT-QL-007:PCT-002:en:63,PCT-CP-004,Medium,PCT-QL-007,Timeline,Money,Original/Recovery value,"If 40% of the salary is Rs. 1600, then Rs. 1200 is what percent of the same salary?",30% + 1,30% - 1,30%,-30%,C,"Here, 40% of the salary equals Rs. 1600. ? 40%?Rs. 1600 To determine the value of 1%, divide Rs. 1600 by 40. ? 1%=(1600/40)=40 Now compare Rs. 1200 with the value of 1% to find the required percentage. ? Required percent=(1200/40)=30% Therefore Rs. 1200 is 30% of the salary. ? Required percent=30%",,
PCT-CP-005:PCT-QL-009:PCT-002:en:64,PCT-CP-005,Easy,PCT-QL-009,Direct,Abstract,Percentage change,A quantity is divided in the ratio 4:5. Find the percentage corresponding to the first part.,44.44%,-44.44%,44.44% + 1,44.44% - 1,A,First add the ratio parts to get the whole number of equal parts. ? Total parts=4+5=9 The first part accounts for 4 out of these 9 parts. ? Share fraction=(4/9) Convert that share into a percentage. ? Required percent=(4/9)?100=44.44% Therefore the first part corresponds to 44.44%. ? first part=44.44%,,
PCT-CP-006:PCT-QL-011:PCT-002:en:65,PCT-CP-006,Easy,PCT-QL-011,Multi-statement,Education,Difference,"If 25% of the class are girls, find the percentage of boys.",-75%,75% + 1,75% - 1,75%,D,The full quantity is always 100%. ? girls+boys=100% So subtract 25% from 100% to get the remaining percentage. ? boys=100%-25%=75% Therefore the boys percentage is 75%. ? boys=75%,,
PCT-CP-007:PCT-QL-013:PCT-002:en:66,PCT-CP-007,Easy,PCT-QL-013,Multi-statement,Education,Comparison,35% of the students are boys and 20% are girls. Find the difference between these percentages.,-15%,15% - 1,15%,15% + 1,C,"Both parts are already given as percentages of the same whole. ? boys=35%, girls=20% So subtract the smaller percentage from the larger percentage. ? Difference=35%-20%=15% Therefore the percentage difference is 15%. ? Difference=15%",,
PCT-CP-008:PCT-QL-015:PCT-002:en:67,PCT-CP-008,Medium,PCT-QL-015,Multi-statement,Education,Count/Partition output,"A group of 1000 students is divided as 25% girls, 35% boys, and 40% other students. Find the number of girls.",250 + 1,250 - 1,-250,250,D,The whole students corresponds to 100%. ? 100%?1000 So the value corresponding to 1% is obtained by dividing 1000 by 100. ? 1%=(1000/100)=10 Now multiply the value of 1% by 25 to find the girls. ? 25%=10?25=250 Therefore the girls count is 250. ? girls=250,,
PCT-CP-009:PCT-QL-017:PCT-002:en:68,PCT-CP-009,Easy,PCT-QL-017,Observation,Money,Difference,"25% is spent on food, 20% on rent, and 20% on transport. Find the remaining percentage for remaining.",-35%,35% - 1,35%,35% + 1,C,The full distribution adds up to 100%. ? food+rent+transport+remaining=100% First add the known percentages. ? 25%+20%+20%=65% Now subtract that total from 100% to get the missing percentage. ? remaining=100%-65%=35% Therefore the missing percentage is 35%. ? remaining=35%,,
PCT-CP-010:PCT-QL-019:PCT-002:en:69,PCT-CP-010,Medium,PCT-QL-019,Multi-statement,Population,Count/Partition output,"In a population of 4000, 35% are males, 40% are females, and 25% are children. Find the number of children.",1000,1000 + 1,-1000,1000 - 1,A,The whole population corresponds to 100%. ? 100%?4000 So the value corresponding to 1% is obtained by dividing 4000 by 100. ? 1%=(4000/100)=40 Now multiply the value of 1% by the percentage for children. ? 25%=40?25=1000 Therefore the value for children is 1000. ? children=1000,,
PCT-CP-001:PCT-QL-002:PCT-002:en:70,PCT-CP-001,Easy,PCT-QL-002,Narrative,Money,Original/Recovery value,"10% of the monthly income is kept aside as savings. If these savings are Rs. 3000, find the total monthly income.",30000,30000 + 1,-30000,30000 - 1,A,"Here, 10% of the monthly income equals Rs. 3000. ? 10%?Rs. 3000 To determine the value of 1%, divide Rs. 3000 by 10. ? 1%=(3000/10)=300 Now multiply the value of 1% by 100 to get the whole. ? 100%=300?100=30000 Therefore the total monthly income is Rs. 30000. ? Total monthly income=30000",,
PCT-CP-002:PCT-QL-004:PCT-002:en:71,PCT-CP-002,Medium,PCT-QL-004,Narrative,Education,Count/Partition output,"If 20% of the students equals 140, how many students correspond to 45%?",315 + 1,315 - 1,315,-315,C,"Here, 20% of the students equals 140. ? 20%?140 First find the value corresponding to 1% by dividing 140 by 20. ? 1%=(140/20)=7 Now multiply the value of 1% by 45 to get 45%. ? 45%=7?45=315 Therefore 45% of the students is 315. ? students=315",,
PCT-CP-003:PCT-QL-006:PCT-002:en:72,PCT-CP-003,Medium,PCT-QL-006,Direct,Money,Percentage change,A person keeps Rs. 14400 as savings out of a total income of Rs. 48000. Find the percentage of savings.,30% + 1,-30%,30%,30% - 1,C,The whole income corresponds to 100%. ? 100%?Rs. 48000 So 1% is obtained by dividing Rs. 48000 by 100. ? 1%=(48000/100)=480 Now compare Rs. 14400 with the value of 1% to get the required percentage. ? Required percent=(14400/480)=30% Therefore Rs. 14400 is 30% of the income. ? savings=30%,,
PCT-CP-004:PCT-QL-008:PCT-002:en:73,PCT-CP-004,Medium,PCT-QL-008,Narrative,Books,Original/Recovery value,"If 30% of the books equals 90, what percent of the books is 45?",15% + 1,15% - 1,15%,-15%,C,"Here, 30% of the books equals 90. ? 30%?90 To determine the value of 1%, divide 90 by 30. ? 1%=(90/30)=3 Now compare 45 with the value of 1% to find the required percentage. ? Required percent=(45/3)=15% Therefore 45 is 15% of the books. ? Required percent=15%",,
PCT-CP-005:PCT-QL-010:PCT-002:en:74,PCT-CP-005,Easy,PCT-QL-010,Multi-statement,Abstract,Percentage change,The ratio of two parts is 5:1. Express the second part as a percentage of the whole.,-16.67%,16.67% - 1,16.67%,16.67% + 1,C,First add the ratio parts to get the whole number of equal parts. ? Total parts=5+1=6 The second part accounts for 1 out of these 6 parts. ? Share fraction=(1/6) Convert that share into a percentage. ? Required percent=(1/6)?100=16.67% Therefore the second part corresponds to 16.67%. ? second part=16.67%,,
PCT-CP-006:PCT-QL-012:PCT-002:en:75,PCT-CP-006,Easy,PCT-QL-012,Direct,Money,Difference,A person keeps 15% of the income as savings. What percent of the income is spent on expenditure?,-85%,85% + 1,85% - 1,85%,D,The full quantity is always 100%. ? savings+expenditure=100% So subtract 15% from 100% to get the remaining percentage. ? expenditure=100%-15%=85% Therefore the expenditure percentage is 85%. ? expenditure=85%,,
PCT-CP-007:PCT-QL-014:PCT-002:en:76,PCT-CP-007,Medium,PCT-QL-014,Multi-statement,Money,Comparison,45% of the monthly budget goes to food expenses and 10% goes to transport expenses. Find the percentage difference.,-35%,35% - 1,35%,35% + 1,C,"Both parts are already given as percentages of the same whole. ? food expenses=45%, transport expenses=10% So subtract the smaller percentage from the larger percentage. ? Difference=45%-10%=35% Therefore the percentage difference is 35%. ? Difference=35%",,
PCT-CP-008:PCT-QL-016:PCT-002:en:77,PCT-CP-008,Medium,PCT-QL-016,Multi-statement,Money,Final value,"A monthly expenses of Rs. 24000 is divided as 35% rent, 30% food, and 35% transport. Find the amount spent on rent.",-8400,8400 + 1,8400 - 1,8400,D,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 24000 So the value corresponding to 1% is obtained by dividing Rs. 24000 by 100. ? 1%=(24000/100)=240 Now multiply the value of 1% by 35 to find the rent. ? 35%=240?35=8400 Therefore the rent count is Rs. 8400. ? rent=8400,,
PCT-CP-009:PCT-QL-018:PCT-002:en:78,PCT-CP-009,Medium,PCT-QL-018,Multi-statement,Money,Difference,"In a budget, 25% goes to marketing, 25% to salaries, and 10% to rent. Find the missing percentage for other expenses.",40% - 1,40%,-40%,40% + 1,B,The full distribution adds up to 100%. ? marketing+salaries+rent+other expenses=100% First add the known percentages. ? 25%+25%+10%=60% Now subtract that total from 100% to get the missing percentage. ? other expenses=100%-60%=40% Therefore the missing percentage is 40%. ? other expenses=40%,,
PCT-CP-010:PCT-QL-020:PCT-002:en:79,PCT-CP-010,Hard,PCT-QL-020,Observation,Money,Final value,"Out of monthly expenses worth Rs. 40000, 25% is spent on food, 30% on rent, 10% on transport, and the remaining 35% on education. Find the amount spent on education.",-14000,14000 - 1,14000 + 1,14000,D,The whole monthly expenses corresponds to 100%. ? 100%?Rs. 40000 So the value corresponding to 1% is obtained by dividing Rs. 40000 by 100. ? 1%=(40000/100)=400 Now multiply the value of 1% by the percentage for education. ? 35%=400?35=14000 Therefore the value for education is Rs. 14000. ? education=14000,,
PCT-CP-001:PCT-QL-001:PCT-002:en:80,PCT-CP-001,Easy,PCT-QL-001,Multi-statement,Education,Original/Recovery value,"30% of the students are girls. If the number of girls is 240, find the total number of students.",800,800 + 1,800 - 1,-800,A,"Here, 30% of the students equals 240. ? 30%?240 To determine the value of 1%, divide 240 by 30. ? 1%=(240/30)=8 Now multiply the value of 1% by 100 to get the whole. ? 100%=8?100=800 Therefore the total students is 800. ? Total students=800",,
PCT-CP-002:PCT-QL-003:PCT-002:en:81,PCT-CP-002,Easy,PCT-QL-003,Narrative,Money,Final value,"If 40% of the income equals Rs. 20000, find 55% of the same income.",27500 + 1,-27500,27500,27500 - 1,C,"Here, 40% of the income equals Rs. 20000. ? 40%?Rs. 20000 First find the value corresponding to 1% by dividing Rs. 20000 by 40. ? 1%=(20000/40)=500 Now multiply the value of 1% by 55 to get 55%. ? 55%=500?55=27500 Therefore 55% of the income is Rs. 27500. ? expenditure=27500",,
PCT-CP-003:PCT-QL-005:PCT-002:en:82,PCT-CP-003,Easy,PCT-QL-005,Multi-statement,Education,Percentage change,"Out of 600 students, 240 are girls. Find what percent of the students are girls.",40%,40% - 1,40% + 1,-40%,A,The whole students corresponds to 100%. ? 100%?600 So 1% is obtained by dividing 600 by 100. ? 1%=(600/100)=6 Now compare 240 with the value of 1% to get the required percentage. ? Required percent=(240/6)=40% Therefore 240 is 40% of the students. ? girls=40%,,
PCT-CP-004:PCT-QL-007:PCT-002:en:83,PCT-CP-004,Medium,PCT-QL-007,Timeline,Money,Original/Recovery value,"If 25% of the salary is Rs. 2500, then Rs. 3500 is what percent of the same salary?",35%,-35%,35% + 1,35% - 1,A,"Here, 25% of the salary equals Rs. 2500. ? 25%?Rs. 2500 To determine the value of 1%, divide Rs. 2500 by 25. ? 1%=(2500/25)=100 Now compare Rs. 3500 with the value of 1% to find the required percentage. ? Required percent=(3500/100)=35% Therefore Rs. 3500 is 35% of the salary. ? Required percent=35%",,
PCT-CP-005:PCT-QL-009:PCT-002:en:84,PCT-CP-005,Easy,PCT-QL-009,Direct,Abstract,Percentage change,A quantity is divided in the ratio 1:2. Find the percentage corresponding to the first part.,33.33% + 1,33.33% - 1,33.33%,-33.33%,C,First add the ratio parts to get the whole number of equal parts. ? Total parts=1+2=3 The first part accounts for 1 out of these 3 parts. ? Share fraction=(1/3) Convert that share into a percentage. ? Required percent=(1/3)?100=33.33% Therefore the first part corresponds to 33.33%. ? first part=33.33%,,
PCT-CP-006:PCT-QL-011:PCT-002:en:85,PCT-CP-006,Easy,PCT-QL-011,Multi-statement,Education,Difference,"If 30% of the class are girls, find the percentage of boys.",70% - 1,70%,-70%,70% + 1,B,The full quantity is always 100%. ? girls+boys=100% So subtract 30% from 100% to get the remaining percentage. ? boys=100%-30%=70% Therefore the boys percentage is 70%. ? boys=70%,,
PCT-CP-007:PCT-QL-013:PCT-002:en:86,PCT-CP-007,Easy,PCT-QL-013,Multi-statement,Education,Comparison,45% of the students are boys and 30% are girls. Find the difference between these percentages.,15% + 1,15% - 1,-15%,15%,D,"Both parts are already given as percentages of the same whole. ? boys=45%, girls=30% So subtract the smaller percentage from the larger percentage. ? Difference=45%-30%=15% Therefore the percentage difference is 15%. ? Difference=15%",,
PCT-CP-008:PCT-QL-015:PCT-002:en:87,PCT-CP-008,Medium,PCT-QL-015,Multi-statement,Education,Count/Partition output,"A group of 800 students is divided as 35% girls, 35% boys, and 30% other students. Find the number of girls.",-280,280,280 - 1,280 + 1,B,The whole students corresponds to 100%. ? 100%?800 So the value corresponding to 1% is obtained by dividing 800 by 100. ? 1%=(800/100)=8 Now multiply the value of 1% by 35 to find the girls. ? 35%=8?35=280 Therefore the girls count is 280. ? girls=280,,
PCT-CP-009:PCT-QL-017:PCT-002:en:88,PCT-CP-009,Easy,PCT-QL-017,Observation,Money,Difference,"30% is spent on food, 25% on rent, and 10% on transport. Find the remaining percentage for remaining.",-35%,35% - 1,35% + 1,35%,D,The full distribution adds up to 100%. ? food+rent+transport+remaining=100% First add the known percentages. ? 30%+25%+10%=65% Now subtract that total from 100% to get the missing percentage. ? remaining=100%-65%=35% Therefore the missing percentage is 35%. ? remaining=35%,,
PCT-CP-010:PCT-QL-019:PCT-002:en:89,PCT-CP-010,Medium,PCT-QL-019,Multi-statement,Population,Count/Partition output,"In a population of 10000, 40% are males, 30% are females, and 30% are children. Find the number of children.",3000,3000 - 1,3000 + 1,-3000,A,The whole population corresponds to 100%. ? 100%?10000 So the value corresponding to 1% is obtained by dividing 10000 by 100. ? 1%=(10000/100)=100 Now multiply the value of 1% by the percentage for children. ? 30%=100?30=3000 Therefore the value for children is 3000. ? children=3000,,
PCT-CP-001:PCT-QL-002:PCT-002:en:90,PCT-CP-001,Easy,PCT-QL-002,Narrative,Money,Original/Recovery value,"20% of the monthly income is kept aside as savings. If these savings are Rs. 4000, find the total monthly income.",20000,20000 - 1,20000 + 1,-20000,A,"Here, 20% of the monthly income equals Rs. 4000. ? 20%?Rs. 4000 To determine the value of 1%, divide Rs. 4000 by 20. ? 1%=(4000/20)=200 Now multiply the value of 1% by 100 to get the whole. ? 100%=200?100=20000 Therefore the total monthly income is Rs. 20000. ? Total monthly income=20000",,
